BC1YLhGdJHfi6qWhuvxyQQqXU3dENb812oQC5PdLoyM6MQsdmScnTn2,425
BC1YLgANZLxhAKqPLAKt3P9ye1FVw6Lfa3gd4U4kYvEFTnJZauuPKg2,412
BC1YLjHcYoehKnXNXRKTGyyJzSmWKfzAuAin42iLwqduFjhasyPKCKs,328
BC1YLfvghL9UuYpaf8WBZFtCqn77rtLd1mr7md5qJykZb5RJMzgsGWs,290
BC1YLhHuq3UnGY6tJFvvquGeNPxfQqNTK8rZPieB7HKj7ivnsvktFaY,269
BC1YLi1pxsdYtfqJpS9HRQFn9gnRt3kqYKon9TAZ3YgcQRPK9XpRkyW,224
BC1YLhS3xZJ7RToJJc49dsmxBfABWkCax4r6eFbe5bSJJ63sH4p2yLN,25
BC1YLfjaLLCuz3fQxXGBqrwdBDYviSqpx4VuxJAaWzWHGHJW9wCEdbK,13
BC1YLfmBEnbGEnD7QuVvPv3uwuSqnRimkmjY9Ptf8fdXWLZeL2CNXUF,7
BC1YLiMvswR9N2fsGsGqHYyoq6w1iPUm7oFRy82UB2aH1FRtTA5HgMG,7
